B1 ,P1	
B100 ,P100
B1000 ,P100
B1001 ,P101
B101 ,P101
B102 ,P103
B103 ,P104
B104 ,P105
B105 ,P106
B106 ,P107
B107 ,P108
B108 ,P109
B109 ,P11	
B11 ,P110
B110 ,P110
B111 ,P110
B112 ,P113
B113 ,P114
B114 ,P115
B115 ,P116
B116 ,P1	
B117 ,P10	
B118 ,P100
B119 ,P100
B12 ,P101
B120 ,P102
B121 ,P103
B122 ,P1	    
B123 ,P10	
B124 ,P100
B125 ,P100
B126 ,P101
B127 ,P101
B128 ,P103
B129 ,P104
B13 ,P105
B130 ,P106
B131 ,P107
B132 ,P108
B133 ,P109
B134 ,P11	
B135 ,P110
B136 ,P110
B137 ,P110
B138 ,P113
B139 ,P114
B1000 ,P100
